id,name,description,brand,category,price,currency,stock,ean,color,size,availability,internalId
1,Smartphone X,Latest 5G smartphone with OLED display,TechBrand,Electronics,699,USD,150,1234567890123,Black,6.1 inch,In Stock,INT-001
2,Laptop Pro,High-performance laptop with 16GB RAM,CompTech,Computers,1299,USD,75,2345678901234,Silver,15 inch,In Stock,INT-002
3,Running Shoes,Lightweight shoes for daily running,Sportify,Footwear,89,USD,300,3456789012345,Blue,42,In Stock,INT-003
4,Wireless Headphones,Noise-cancelling over-ear headphones,SoundMax,Audio,199,USD,200,4567890123456,White,Universal,Out of Stock,INT-004
5,Coffee Maker,Automatic espresso machine,HomeBrew,Appliances,249,USD,50,5678901234567,Black,Medium,In Stock,INT-005
6,Smartwatch Z,Fitness tracking smartwatch,TechBrand,Wearables,149,USD,120,6789012345678,Red,44mm,In Stock,INT-006
7,Office Chair,Ergonomic chair with lumbar support,FurniCo,Furniture,179,USD,80,7890123456789,Grey,Standard,In Stock,INT-007
8,Backpack Pro,Water-resistant laptop backpack,CarryAll,Accessories,59,USD,500,8901234567890,Green,Large,In Stock,INT-008
9,LED TV,55-inch 4K UHD Smart TV,ViewMax,Electronics,499,USD,60,9012345678901,Black,55 inch,In Stock,INT-009
10,Winter Jacket,Insulated waterproof jacket,Clothify,Apparel,129,USD,250,0123456789012,Navy,L,In Stock,INT-010
